Rating,Reviews,Number_Of_Pages,Type,Price
4.58,58,863,3,66.32058824
3.92,0,366,1,66.82058824
4.2,17,240,3,66.82058824
4.0,11,728,1,66.83235294
4.32,39,927,1,67.83529412
3.96,150,1214,3,67.87352941
3.95,36,542,3,69.31764706
4.42,426,288,3,69.37941176
4.08,92,1040,1,69.37941176
4.0,6,545,1,69.89117647
3.96,13,256,3,70.35294118
4.31,36,600,1,70.75882353
4.15,191,560,1,71.41470588
4.23,18,320,3,72.37647059
4.13,0,928,1,75.7
3.56,5,475,1,77.05294118
4.3,2,908,3,77.05294118
3.78,1,345,1,78.43529412
4.41,48,976,1,78.60882353
3.86,5,544,3,78.73235294
4.24,11,560,1,79.1
4.23,35,357,3,79.72352941
4.33,28,672,1,79.80588235
4.25,3,304,3,80.84411765
4.05,39,414,3,81.88823529
4.34,79,730,1,81.92058824
4.15,20,864,1,81.92058824
3.94,45,883,1,82.16764706
3.59,0,768,1,82.36764706
3.48,3,388,3,83.15
4.45,88,787,5,83.20294118
4.02,3,582,5,83.21176471
4.03,10,801,1,83.66176471
3.92,27,720,1,83.70294118
3.77,28,1142,1,85.60588235
3.91,4,384,3,87.24705882
4.25,48,552,1,87.28529412
4.14,6,846,1,87.38235294
4.23,66,431,1,90.98235294
4.0,5,600,1,91.04705882
4.01,0,575,1,91.04705882
4.03,0,791,1,91.04705882
4.33,194,1180,1,92.25588235
4.06,3,626,1,92.35882353
3.97,4,410,1,92.41176471
4.37,44,672,1,93.45588235
4.1,7,624,1,94.78529412
4.35,21,1052,1,96.03235294
4.37,0,431,3,96.49411765
3.9,2,716,1,97.52647059
4.02,25,521,1,97.68823529
4.03,1,1056,1,99.82941176
4.1,31,493,3,101.0558824
4.42,38,978,1,103.1735294
4.11,56,976,1,103.4617647
4.11,56,1136,3,103.4617647
3.96,15,669,1,103.6088235
3.67,2,362,1,105.65
4.13,14,936,1,107.7470588
3.87,13,724,3,108.36764709999999
4.16,16,1136,1,113.3029412
4.18,130,1132,1,115.75
3.45,1,1040,1,117.98823529999999
3.82,0,700,1,119.2029412
4.08,56,796,1,126.5794118
3.77,0,703,1,139.4352941
3.82,0,663,1,143.13823530000002
4.26,5,1235,1,176.1441176
3.76,0,752,1,203.1088235
3.94,22,1040,3,212.09705879999999
4.49,36,896,2,220.3852941
4.77,4,3168,1,220.3852941
3.84,5,789,1,235.65
